Customer_ID,Age,Gender,Occupation,Monthly_Income,City,Account_Balance,Credit_Score,Existing_Loan,Credit_Card,Investment,Insurance,Monthly_Transactions,Digital_Usage,Product_Count,Credit_Card_Score,Investment_Score,Insurance_Score,Loan_Score,Max_Opportunity_Score,Next_Best_Product,Opportunity_Level,Customer_Value
C0001,59,Male,Self-Employed,164744,Bangalore,342916,719,Yes,Yes,Yes,Yes,83,High,4,70,70,70,45,70,Credit Card,Medium,High Value
C0002,49,Female,Self-Employed,145684,Chennai,637230,711,Yes,No,No,Yes,47,Medium,2,100,100,70,45,100,Credit Card,High,High Value
C0003,35,Female,Salaried,89821,Bangalore,306942,710,Yes,No,No,No,25,Medium,1,80,100,100,25,100,Investment,High,Medium Value
C0004,28,Male,Salaried,116669,Delhi,379174,693,No,No,Yes,No,29,Low,1,55,50,55,55,55,Credit Card,Medium,High Value
C0005,41,Male,Business,225507,Pune,455957,780,Yes,Yes,Yes,No,95,High,3,70,70,100,70,100,Insurance,High,High Value
C0006,59,Male,Self-Employed,170601,Delhi,656323,756,Yes,Yes,Yes,Yes,64,Medium,4,70,70,70,70,70,Credit Card,Medium,High Value
C0007,39,Male,Salaried,113055,Hyderabad,155250,681,No,No,Yes,No,14,Low,1,55,45,80,55,80,Insurance,High,Medium Value
C0008,43,Female,Salaried,42192,Mumbai,189868,691,No,No,Yes,No,18,Low,1,55,20,55,30,55,Credit Card,Medium,Medium Value
C0009,31,Male,Salaried,104102,Hyderabad,244567,725,Yes,No,Yes,No,43,Low,2,100,70,100,70,100,Credit Card,High,Medium Value
C0010,31,Male,Business,164894,Mumbai,257164,674,Yes,Yes,Yes,No,59,Medium,3,45,70,100,45,100,Insurance,High,Medium Value
C0011,44,Male,Self-Employed,121795,Pune,359930,714,Yes,Yes,Yes,No,50,Low,3,70,70,100,45,100,Insurance,High,High Value
C0012,56,Female,Self-Employed,101677,Bangalore,121008,680,No,No,No,No,19,Low,0,55,75,80,55,80,Insurance,High,Medium Value
C0013,60,Male,Salaried,34627,Delhi,150787,701,No,No,Yes,Yes,37,Medium,2,55,20,25,50,55,Credit Card,Medium,Medium Value
C0014,44,Female,Student,24501,Chennai,106531,641,No,No,No,No,14,Low,0,30,50,55,30,55,Insurance,Medium,Emerging
C0015,23,Male,Business,249298,Delhi,1078726,729,No,Yes,Yes,No,66,Medium,2,70,50,55,100,100,Loan,High,High Value
C0016,42,Female,Salaried,135627,Pune,202907,712,Yes,Yes,Yes,Yes,50,Medium,4,70,70,70,45,70,Credit Card,Medium,Medium Value
C0017,22,Female,Salaried,33255,Hyderabad,65534,634,No,No,No,No,18,Low,0,30,30,30,30,30,No Immediate Opportunity,Low,Emerging
C0018,44,Male,Salaried,87433,Chennai,384536,714,Yes,Yes,Yes,Yes,16,Low,4,50,70,70,25,70,Investment,Medium,Medium Value
C0019,50,Male,Salaried,35213,Bangalore,168097,638,No,No,No,No,21,Low,0,30,50,55,30,55,Insurance,Medium,Medium Value
C0020,58,Female,Student,14108,Pune,15549,651,No,No,No,No,30,Low,0,30,50,55,50,55,Insurance,Medium,Emerging
C0021,22,Female,Salaried,49404,Chennai,160269,715,Yes,No,No,No,8,Low,1,80,30,50,0,80,Credit Card,High,Medium Value
C0022,41,Male,Self-Employed,151545,Pune,327240,753,No,Yes,Yes,No,63,Medium,2,70,70,80,100,100,Loan,High,High Value
C0023,53,Male,Salaried,55380,Pune,235159,686,Yes,Yes,No,Yes,23,Low,3,25,75,70,25,75,Investment,Medium,Medium Value
C0024,32,Female,Salaried,121056,Bangalore,410563,701,Yes,Yes,No,Yes,59,Medium,3,70,100,70,45,100,Investment,High,High Value
C0025,42,Female,Salaried,49173,Mumbai,104206,680,Yes,No,No,Yes,16,Low,2,55,50,45,0,55,Credit Card,Medium,Emerging
C0026,45,Male,Salaried,83027,Chennai,206489,707,Yes,No,No,Yes,15,Low,2,80,100,70,25,100,Investment,High,Medium Value
C0027,47,Female,Salaried,53989,Bangalore,227141,642,No,No,Yes,No,33,Medium,1,55,45,80,75,80,Insurance,High,Medium Value
C0028,48,Male,Self-Employed,143106,Pune,184481,742,Yes,No,No,Yes,38,Low,2,80,75,70,70,80,Credit Card,High,Medium Value
C0029,36,Female,Business,74519,Bangalore,188912,649,Yes,No,Yes,Yes,55,Medium,3,75,45,70,45,75,Credit Card,Medium,Medium Value
C0030,35,Male,Business,72439,Mumbai,203775,698,No,No,Yes,Yes,35,Medium,2,55,70,50,75,75,Loan,Medium,Medium Value
C0031,23,Male,Salaried,148570,Delhi,228997,686,No,Yes,Yes,No,46,Low,2,45,50,55,75,75,Loan,Medium,Medium Value
C0032,57,Male,Salaried,106949,Chennai,125543,757,Yes,Yes,No,No,56,Medium,2,70,75,100,70,100,Insurance,High,Medium Value
C0033,27,Female,Salaried,44995,Mumbai,205027,690,No,Yes,No,Yes,16,Low,2,25,55,0,30,55,Investment,Medium,Medium Value
C0034,41,Male,Business,73559,Hyderabad,316961,635,No,No,No,Yes,24,Low,1,55,100,50,55,100,Investment,High,Medium Value
C0035,29,Male,Salaried,140887,Chennai,572606,715,No,No,No,No,42,Medium,0,100,80,55,75,100,Credit Card,High,High Value
C0036,59,Male,Salaried,119049,Mumbai,540533,688,No,No,Yes,Yes,16,Low,2,55,70,50,55,70,Investment,Medium,High Value
C0037,38,Male,Business,186093,Pune,621201,719,Yes,Yes,No,No,78,Medium,2,70,100,100,45,100,Investment,High,High Value
C0038,24,Female,Salaried,128000,Chennai,540025,713,No,No,No,No,23,Low,0,80,80,55,55,80,Credit Card,High,High Value
C0039,45,Male,Salaried,51119,Chennai,137615,642,No,No,No,No,7,Low,0,55,50,80,55,80,Insurance,High,Medium Value
C0040,34,Female,Salaried,81539,Bangalore,307590,708,Yes,No,Yes,Yes,37,Medium,3,80,70,70,45,80,Credit Card,High,Medium Value
C0041,29,Female,Self-Employed,74350,Pune,338184,703,No,No,No,Yes,20,Medium,1,80,80,25,55,80,Credit Card,High,Medium Value
C0042,46,Male,Business,227295,Hyderabad,414534,769,Yes,No,No,Yes,87,High,2,100,100,70,70,100,Credit Card,High,High Value
C0043,22,Male,Salaried,55517,Delhi,142230,672,No,Yes,No,Yes,5,Low,2,25,30,25,55,55,Loan,Medium,Medium Value
C0044,40,Male,Salaried,108653,Mumbai,306140,719,No,No,No,Yes,35,Low,1,80,100,50,75,100,Investment,High,High Value
C0045,48,Male,Student,28950,Bangalore,79021,683,No,No,No,Yes,13,Low,1,30,50,25,30,50,Investment,Medium,Emerging
C0046,27,Male,Business,139132,Mumbai,159665,728,No,Yes,No,No,37,Medium,1,50,55,55,100,100,Loan,High,Medium Value
C0047,28,Male,Salaried,121066,Hyderabad,504685,666,No,No,No,No,70,Low,0,75,80,55,75,80,Investment,High,High Value
C0048,55,Female,Self-Employed,94546,Hyderabad,469764,668,No,No,No,Yes,25,Low,1,55,100,50,55,100,Investment,High,Medium Value
C0049,34,Male,Salaried,135686,Chennai,342790,704,No,Yes,Yes,Yes,71,High,3,70,70,50,75,75,Loan,Medium,High Value
C0050,37,Male,Business,138151,Hyderabad,128749,669,No,Yes,No,No,49,Medium,1,45,75,80,75,80,Insurance,High,Medium Value
C0051,56,Female,Business,53327,Mumbai,106058,678,No,Yes,No,No,5,Low,1,25,50,80,55,80,Insurance,High,Medium Value
C0052,60,Male,Salaried,59768,Pune,251371,717,No,No,No,Yes,5,Low,1,80,75,50,55,80,Credit Card,High,Medium Value
C0053,24,Female,Student,28643,Pune,93000,696,No,No,No,No,13,Low,0,30,30,30,30,30,No Immediate Opportunity,Low,Emerging
C0054,22,Female,Business,223860,Chennai,485357,779,No,Yes,Yes,Yes,99,High,3,70,50,25,100,100,Loan,High,High Value
C0055,26,Male,Business,165945,Delhi,464949,749,Yes,Yes,Yes,Yes,88,High,4,70,50,45,70,70,Credit Card,Medium,High Value
C0056,24,Female,Salaried,112384,Mumbai,223014,767,Yes,Yes,No,No,44,Medium,2,70,80,75,70,80,Investment,High,Medium Value
C0057,49,Male,Salaried,76830,Mumbai,212296,708,No,No,Yes,No,11,Low,1,80,70,80,55,80,Credit Card,High,Medium Value
C0058,38,Male,Salaried,82446,Hyderabad,353028,713,Yes,Yes,Yes,No,35,Medium,3,50,70,100,45,100,Insurance,High,Medium Value
C0059,46,Male,Self-Employed,175148,Mumbai,587458,689,Yes,Yes,Yes,Yes,53,High,4,45,70,70,45,70,Investment,Medium,High Value
C0060,54,Male,Salaried,99341,Bangalore,367920,734,Yes,Yes,Yes,Yes,43,High,4,70,70,70,70,70,Credit Card,Medium,Medium Value
C0061,30,Female,Business,81085,Delhi,170531,697,No,No,Yes,No,16,Low,1,55,45,80,55,80,Insurance,High,Medium Value
C0062,56,Male,Business,105571,Hyderabad,406952,695,No,No,Yes,Yes,8,Low,2,55,70,50,55,70,Investment,Medium,High Value
C0063,34,Male,Salaried,44715,Bangalore,192886,657,No,Yes,No,No,36,Medium,1,25,50,55,50,55,Insurance,Medium,Medium Value
C0064,51,Male,Business,178308,Chennai,290151,717,Yes,Yes,Yes,Yes,63,Medium,4,70,70,70,45,70,Credit Card,Medium,Medium Value
C0065,35,Female,Salaried,35750,Pune,126751,700,No,No,No,No,14,Low,0,55,50,55,30,55,Credit Card,Medium,Emerging
C0066,28,Male,Student,25627,Chennai,65207,656,No,Yes,No,No,24,Low,1,0,30,30,30,30,No Immediate Opportunity,Low,Emerging
C0067,34,Female,Salaried,108768,Pune,499823,684,No,No,No,Yes,69,High,1,75,100,50,75,100,Investment,High,High Value
C0068,43,Male,Salaried,148544,Chennai,413050,696,Yes,Yes,Yes,No,66,Medium,3,45,70,100,45,100,Insurance,High,High Value
C0069,60,Female,Salaried,65903,Mumbai,340997,683,Yes,Yes,Yes,Yes,26,Low,4,25,45,70,25,70,Insurance,Medium,Medium Value
C0070,41,Female,Salaried,102489,Bangalore,109118,685,No,No,Yes,Yes,45,Medium,2,75,45,50,75,75,Credit Card,Medium,Medium Value
C0071,36,Female,Self-Employed,126036,Pune,497191,690,No,No,Yes,No,42,Medium,1,75,70,80,75,80,Insurance,High,High Value
C0072,38,Female,Business,137954,Hyderabad,509059,672,No,No,Yes,Yes,52,High,2,75,70,50,75,75,Credit Card,Medium,High Value
